ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
192,Height-for-age >+2 SD and ≤+3 SD,,Percentage of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median height-for-age of the reference population,Proportion,Number of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_HAZ_PO2_T_PO3,NT_ANT_HAZ_PO2_T_PO3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
193,Height-for-age >+1 SD and ≤+2 SD,,Percentage of under-fives falling below plus or equal to 2 standard deviations but above plus 1 standard deviations from the median height-for-age of the reference population,Proportion,Number of under-fives falling below plus or equal to 1 standard deviation but above plus 2 standard deviations from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_HAZ_PO1_T_PO2,NT_ANT_HAZ_PO1_T_PO2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
194,Weight-for-age >+2 SD and ≤+3 SD,,Percentage of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WAZ_PO2_T_PO3,NT_ANT_WAZ_PO2_T_PO3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
195,Weight-for-age >+1 SD and ≤+2 SD,,Percentage of under-fives falling below plus or equal to 2 standard deviations but above plus 1 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below plus or equal to 1 standard deviation but above plus 2 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_PO1_T_PO2,NT_ANT_WAZ_PO1_T_PO2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
196,Weight-for-age <-2 SD and ≥ -3 SD,,Percentage of under-fives falling below minus 2 standard deviations (moderate + severe) but above or equal to minus 3 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate + severe) but above or equal to minus 3 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WAZ_NE2_T_NE3,NT_ANT_WAZ_NE2_T_NE3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
197,Weight-for-age <-1 SD and ≥ -2 SD,,Percentage of under-fives falling below minus 1 standard deviations (moderate + severe) but above or equal to minus 2 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below minus 1 standard deviations (moderate + severe) but above or equal to minus 2 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WAZ_NE1_T_NE2,NT_ANT_WAZ_NE1_T_NE2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
198,Weight-for-height >+2 SD and ≤+3 SD,,Percentage of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median weight-for-height of the reference population,Proportion,Number of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_PO2_T_PO3,NT_ANT_WHZ_PO2_T_PO3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
199,Weight-for-height >+1 SD and ≤+2 SD,,Percentage of under-fives falling below plus or equal to 2 standard deviations but above plus 1 standard deviations from the median weight-for-height of the reference population,Proportion,Number of under-fives falling below plus or equal to 1 standard deviations but above plus 2 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_PO1_T_PO2,NT_ANT_WHZ_PO1_T_PO2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
202,Weight-for-height <-1 SD and ≥ -2 SD,,Percentage of under-fives falling below minus 1 standard deviations (moderate + severe) but above or equal to minus 2 standard deviations from the median weight-for-height of the reference population,Proportion,Number of under-fives falling below minus 1 standard deviations (moderate + severe) but above or equal to minus 2 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_NE1_T_NE2,NT_ANT_WHZ_NE1_T_NE2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
203,Weight-for-height <-2 SD and ≥ -3 SD,,Percentage of under-fives falling below minus 2 standard deviations (moderate + severe) but above or equal to minus 3 standard deviations from the median weight-for-height of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate + severe) but above or equal to minus 3 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_NE2_T_NE3,NT_ANT_WHZ_NE2_T_NE3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
204,BMI-for-age <-2 SD and ≥ -3 SD,,Percentage of under-fives falling below minus 2 standard deviations (moderate + severe) but above or equal to minus 3 standard deviations from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate + severe) but above or equal to minus 3 standard deviations from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_BAZ_NE2_T_NE3,NT_ANT_BAZ_NE2_T_NE3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
205,BMI-for-age <-1 SD and ≥ -2 SD,,Percentage of under-fives falling below minus 1 standard deviations (moderate + severe) but above or equal to minus 2 standard deviations from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below minus 1 standard deviations (moderate + severe) but above or equal to minus 2 standard deviations from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_BAZ_NE1_T_NE2,NT_ANT_BAZ_NE1_T_NE2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
206,BMI-for-age >+2 SD and ≤+3 SD,,Percentage of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below plus or equal to 3 standard deviations but above plus 2 standard deviations from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_BAZ_PO2_T_PO3,NT_ANT_BAZ_PO2_T_PO3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
207,BMI-for-age >+1 SD and ≤+2 SD,,Percentage of under-fives falling below plus or equal to 2 standard deviations but above plus 1 standard deviations from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below plus or equal to 1 standard deviation but above plus 2 standard deviations from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_BAZ_PO1_T_PO2,NT_ANT_BAZ_PO1_T_PO2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
208,Weight-for-age <-2SD & Weight-for-height <-2SD,Wasted and Underweight (WHZ <-2 AND WAZ <-2),Percentage of children under 5 years of age who are both wasted and underweight,Proportion,Number of children under 5 falling below -2 standard deviations from the median weight-for-height and falling below -2 standard deviations from the median weight for age of the reference population,Children under 5 years of age in the surveyed population with valid weights-for-age and valid weights-for-height,,Anthropometry,Child Anthropometry,ANT_WAZWHZ_NE2_NE2,NT_ANT_WAZWHZ_NE2_NE2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
209,Weight-for-age <-3SD & Weight-for-height <-2SD,Wasted and Severely Underweight (WHZ <-2 AND WAZ <-3),Percentage of children under 5 years of age who are both wasted and severely underweight,Proportion,Number of children under 5 falling below -2 standard deviations from the median weight-for-height and falling below -3 standard deviations from the median weight for age of the reference population,Children under 5 years of age in the surveyed population with valid weights-for-age and valid weights-for-height,,Anthropometry,Child Anthropometry,ANT_WAZWHZ_NE3_NE2,NT_ANT_WAZWHZ_NE3_NE2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
210,0 Food Groups (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_0,NT_CF_FG_EXBF_0,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
211,1 Food Group (Excluding Breastfmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_1,NT_CF_FG_EXBF_1,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
212,2 Food Groups (Excluding Breastfeedmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_2,NT_CF_FG_EXBF_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
213,3 Food Groups (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_3,NT_CF_FG_EXBF_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
214,4 Food Groups (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_4,NT_CF_FG_EXBF_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
215,5 Food Groups (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_5,NT_CF_FG_EXBF_5,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
216,6 Food Groups (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_6,NT_CF_FG_EXBF_6,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
217,7 Food Groups (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_7,NT_CF_FG_EXBF_7,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
220,1 Food Group or Less (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_0_T_1,NT_CF_FG_EXBF_0_T_1,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
222,2 Food Groups or Less (Excluding Brreastmik),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_0_T_2,NT_CF_FG_EXBF_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
224,3 Food Groups or Less (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_0_T_3,NT_CF_FG_EXBF_0_T_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
226,4 Food Groups or Less (Excluding Breastmilk),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_EXBF_0_T_4,NT_CF_FG_EXBF_0_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,
227,The number of children who consumed grains out of all the children who consumed 1 food group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_GRAINS,NT_CF_FG_1_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
228,The number of children who consumed grains out of all the children who consumed 2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_GRAINS,NT_CF_FG_2_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
229,The number of children who consumed grains out of all the children who consumed 3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_GRAINS,NT_CF_FG_3_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
230,The number of children who consumed grains out of all the children who consumed 4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_GRAINS,NT_CF_FG_4_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
231,The number of children who consumed grains out of all the children who consumed 5 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_GRAINS,NT_CF_FG_5_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
232,The number of children who consumed grains out of all the children who consumed 6 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_GRAINS,NT_CF_FG_6_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
233,The number of children who consumed grains out of all the children who consumed 7 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_GRAINS,NT_CF_FG_7_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
234,The number of children who consumed grains out of all the children who consumed 8 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_GRAINS,NT_CF_FG_8_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
235,The number of children who consumed legumes out of all the children who consumed 1 food group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_LEGUMES,NT_CF_FG_1_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
236,The number of children who consumed legumes out of all the children who consumed 2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_LEGUMES,NT_CF_FG_2_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
237,The number of children who consumed legumes out of all the children who consumed 3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_LEGUMES,NT_CF_FG_3_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
238,The number of children who consumed legumes out of all the children who consumed 4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_LEGUMES,NT_CF_FG_4_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
239,The number of children who consumed legumes out of all the children who consumed 5 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_LEGUMES,NT_CF_FG_5_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
240,The number of children who consumed legumes out of all the children who consumed 6 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_LEGUMES,NT_CF_FG_6_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
241,The number of children who consumed legumes out of all the children who consumed 7 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_LEGUMES,NT_CF_FG_7_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
242,The number of children who consumed legumes out of all the children who consumed 8 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_LEGUMES,NT_CF_FG_8_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
243,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 1 food group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_VITA,NT_CF_FG_1_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
244,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_VITA,NT_CF_FG_2_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
245,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_VITA,NT_CF_FG_3_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
246,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_VITA,NT_CF_FG_4_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
247,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 5 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_VITA,NT_CF_FG_5_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
248,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 6 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_VITA,NT_CF_FG_6_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
249,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 7 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_VITA,NT_CF_FG_7_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
250,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 8 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_VITA,NT_CF_FG_8_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
251,The number of children who consumed other fruits and vegetables out of all the children who consumed 1 food group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_OTHER_FV,NT_CF_FG_1_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
252,The number of children who consumed other fruits and vegetables out of all the children who consumed 2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_OTHER_FV,NT_CF_FG_2_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
253,The number of children who consumed other fruits and vegetables out of all the children who consumed 3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_OTHER_FV,NT_CF_FG_3_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
254,The number of children who consumed other fruits and vegetables out of all the children who consumed 4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_OTHER_FV,NT_CF_FG_4_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
255,The number of children who consumed other fruits and vegetables out of all the children who consumed 5 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_OTHER_FV,NT_CF_FG_5_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
256,The number of children who consumed other fruits and vegetables out of all the children who consumed 6 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_OTHER_FV,NT_CF_FG_6_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
257,The number of children who consumed other fruits and vegetables out of all the children who consumed 7 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_OTHER_FV,NT_CF_FG_7_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
258,The number of children who consumed other fruits and vegetables out of all the children who consumed 8 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_OTHER_FV,NT_CF_FG_8_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
259,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 1 food group",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_FF,NT_CF_FG_1_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
260,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 2 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_FF,NT_CF_FG_2_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
261,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 3 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_FF,NT_CF_FG_3_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
262,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 4 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_FF,NT_CF_FG_4_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
263,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 5 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_FF,NT_CF_FG_5_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
